,count,mean,std,min,25%,50%,75%,max
Total_Indian_Migrants,35.0,1079800.0,1015962.9103929522,60000.0,320000.0,721000.0,1335000.0,3500000.0
Permanent_Migrants,18.0,61293.72222222222,42990.462299014725,17000.0,27169.25,40242.5,95516.25,139790.0
Temporary_Workers,12.0,47110.916666666664,43311.385180632955,10071.0,18068.75,29320.0,61167.75,162655.0
Students,23.0,183347.95652173914,108741.24375176073,28905.0,79402.0,186267.0,235468.5,427000.0
Remittance_USD_Billion,175.0,59.934000000000005,33.360257965043566,12.88,28.33,62.74,78.79,137.67
Unemployment_India,182.0,7.036153846153845,1.199360574787787,4.17,7.55,7.615,7.64,7.86
GDP_India_USD_Billion,175.0,1874.0908000000002,1025.0629745417439,468.4,940.26,1828.0,2675.0,3910.0
